"AGE","FLEN"
1,160
1,168
1,173
1,186
1,187
1,192
1,207
1,211
1,218
2,249
2,226
2,230
2,254
2,228
2,245
2,235
2,237
2,250
2,250
3,386
3,265
3,309
3,318
3,255
3,339
3,255
3,347
3,300
3,269
4,355
4,345
4,304
4,307
4,351
4,297
4,367
4,381
4,301
4,345
5,456
5,360
5,446
5,362
5,468
5,387
5,382
5,393
5,482
5,461
6,507
6,446
6,450
6,450
6,471
6,461
6,469
6,477
6,468
6,471
7,506
7,497
7,477
7,450
7,464
7,491
7,570
7,510
7,470
7,486
8,462
8,520
8,507
8,510
8,526
8,480
8,525
8,531
8,493
8,540
9,461
9,463
9,495
9,513
9,507
9,533
9,477
9,514
9,512
9,535
10,551
10,497
10,540
10,534
10,528
10,523
10,507
10,472
10,540
10,482
11,470
11,511
11,505
11,519
11,505
11,495
11,514
11,503
11,524
11,509
12,498
12,556
