"AGE","FLEN"
1,168
1,172
1,175
1,175
1,180
1,180
1,184
1,184
1,185
1,203
2,250
2,261
2,263
2,236
2,266
2,260
2,250
2,250
2,275
2,255
3,315
3,331
3,305
3,394
3,338
3,324
3,357
3,240
3,417
3,260
4,436
4,468
4,434
4,502
4,478
4,444
4,322
4,370
4,430
4,424
5,526
5,432
5,495
5,481
5,435
5,445
5,448
5,440
5,488
5,465
6,466
6,465
6,440
6,415
6,461
6,462
6,422
6,468
6,545
6,443
7,475
7,465
7,476
7,483
7,506
7,517
7,538
7,446
7,466
7,471
8,491
8,469
8,389
8,602
8,494
8,502
8,475
8,556
8,472
8,543
9,476
9,475
9,490
9,464
9,556
9,546
9,535
9,523
9,470
9,512
10,482
10,558
10,520
10,508
10,525
10,534
10,495
10,530
10,487
10,523
11,525
11,450
11,530
11,538
11,501
11,561
11,448
11,568
11,515
11,604
12,470
12,537
12,565
12,568
12,578
12,596
13,575
15,475
16,518
