"AGE","FLEN"
1,160
1,168
1,173
1,186
1,187
1,192
1,207
1,211
1,218
2,258
2,249
2,231
2,231
2,355
2,227
2,231
2,210
2,240
2,237
3,255
3,305
3,285
3,254
3,327
3,259
3,310
3,315
3,385
3,274
4,354
4,304
4,332
4,330
4,296
4,363
4,306
4,370
4,345
4,385
5,360
5,432
5,365
5,453
5,365
5,438
5,452
5,430
5,485
5,340
6,472
6,499
6,422
6,452
6,475
6,465
6,480
6,446
6,465
6,457
7,476
7,466
7,471
7,523
7,458
7,445
7,510
7,507
7,465
7,500
8,465
8,485
8,485
8,507
8,514
8,465
8,526
8,506
8,480
8,462
9,550
9,478
9,544
9,513
9,509
9,470
9,507
9,480
9,479
9,502
10,520
10,484
10,495
10,508
10,456
10,540
10,472
10,482
10,545
10,530
11,518
11,524
11,511
11,509
11,535
11,505
11,505
11,495
11,470
11,519
12,498
12,556
