"AGE","FLEN"
1,210
1,203
1,177
1,181
1,203
1,182
1,156
1,196
1,224
1,168
2,246
2,231
2,230
2,236
2,166
2,232
2,231
2,279
2,227
2,250
3,277
3,283
3,273
3,264
3,306
3,298
3,321
3,385
3,271
3,294
4,359
4,313
4,314
4,329
4,365
4,313
4,303
4,335
4,339
4,327
5,382
5,342
5,384
5,381
5,417
5,375
5,452
5,436
5,500
5,441
6,463
6,469
6,435
6,423
6,433
6,437
6,470
6,486
6,428
6,405
7,435
7,467
7,472
7,424
7,473
7,453
7,504
7,441
7,450
7,460
8,511
8,479
8,480
8,430
8,508
8,470
8,491
8,541
8,480
8,508
9,459
9,472
9,561
9,493
9,494
9,480
9,490
9,511
9,522
9,461
10,475
10,553
10,536
10,505
10,513
10,457
10,493
10,533
10,511
10,513
11,524
11,481
11,507
11,511
11,472
11,501
11,458
11,514
11,548
11,558
12,552
12,570
12,516
12,523
12,537
12,610
12,516
12,505
12,530
12,507
13,524
13,528
14,475
14,605
15,615
