# =====================================
# "Von_Bert.dat" produced from R by write.dat() in MyADMButils; 
# Thu Dec 05 15:35:31 2013
# =====================================

# Linf_L 
  300 

# =====================================
# Linf_U 
  1200 

# =====================================
# nobs 
  116 

# =====================================
# data 

# AGE, FLEN 
  1 180
  1 182
  1 185
  1 195
  1 198
  1 203
  1 212
  1 220
  1 234
  2 300
  2 290
  2 277
  2 283
  2 285
  2 283
  2 282
  2 300
  2 294
  2 255
  3 294
  3 348
  3 328
  3 309
  3 386
  3 347
  3 354
  3 354
  3 375
  3 354
  4 423
  4 435
  4 440
  4 402
  4 465
  4 414
  4 440
  4 418
  4 419
  4 461
  5 482
  5 436
  5 432
  5 464
  5 452
  5 438
  5 426
  5 455
  5 457
  5 447
  6 485
  6 469
  6 488
  6 457
  6 470
  6 444
  6 471
  6 490
  6 481
  6 489
  7 481
  7 410
  7 522
  7 470
  7 467
  7 417
  7 469
  7 450
  7 448
  7 486
  8 570
  8 539
  8 447
  8 464
  8 483
  8 455
  8 444
  8 470
  8 464
  8 499
  9 517
  9 466
  9 527
  9 571
  9 531
  9 548
  9 542
  9 452
  9 470
  9 487
  10 515
  10 533
  10 423
  10 534
  10 475
  10 448
  10 508
  10 495
  10 495
  10 508
  11 505
  11 518
  11 524
  11 530
  11 572
  11 610
  12 481
  12 499
  12 500
  12 540
  12 557
  12 575
  12 575
  12 579
  12 595
  13 466
  14 614

# =====================================

