"AGE","FLEN"
1,186
1,188
1,193
1,195
1,201
1,207
1,220
1,227
1,228
2,212
2,214
2,216
2,218
2,224
2,229
2,230
2,251
2,253
2,320
3,276
3,317
3,335
3,371
4,325
4,343
4,339
4,410
4,335
4,309
4,347
4,355
4,328
4,297
5,360
5,344
5,373
5,548
5,477
5,383
5,442
5,377
5,517
5,414
6,447
6,496
6,478
6,487
6,485
6,473
6,475
6,338
6,473
6,395
7,527
7,535
7,506
7,499
7,488
7,541
7,535
7,526
7,522
7,505
8,446
8,490
8,508
8,582
8,495
8,516
8,476
8,523
8,496
8,557
9,481
9,538
9,501
9,546
9,554
9,550
9,510
9,574
9,550
9,530
10,534
10,546
10,547
10,556
10,503
10,455
10,543
10,504
10,550
10,516
11,514
11,522
11,536
11,537
11,540
11,550
11,553
11,565
11,638
12,501
12,563
